time,KE,dt
0.00067,29236351.073666,2.24036009732e-05
0.00068,30612214.887019,2.6440416544961e-05
0.00069,32034889.765383,2.6440416544961e-05
0.0007,33503163.178921,2.6440416544962e-05
0.00071,35015770.288247,2.6440416544962e-05
0.00072,36571770.658652,2.4680641939701e-05
0.00073,38170880.413493,2.6440416544961e-05
0.00074,39813678.73175,2.6440416544961e-05
0.00075,41501636.87078,2.4645088234213e-05
0.00076,43236965.772388,2.6440416544961e-05
0.00077,45022327.649673,2.6440416544961e-05
0.00078,46860490.459002,2.4645088234213e-05
0.00079,48754011.348584,2.6440416544961e-05
0.0008,50705016.013474,2.6440416544961e-05
0.00081,52715104.880051,2.6440416544961e-05
0.00082,54785378.084254,2.6440416544961e-05
0.00083,56916541.825932,2.6440416544961e-05
0.00084,59109046.067919,2.6440416544961e-05
0.00085,61363208.205543,2.6440416544961e-05
0.00086,63679294.459105,2.6440416544961e-05
0.00087,66057552.700929,2.6440416544962e-05
0.00088,68498209.49584,2.4500004108964e-05
0.00089,71001454.643467,2.3352110870245e-05
0.0009,73567436.084799,2.6440416544961e-05
0.00091,76196278.136309,2.6440416544961e-05
0.00092,78888121.523569,2.5080638971575e-05
0.00093,81643171.200634,2.4401643943065e-05
0.00094,84461733.030616,2.6440416544961e-05
0.00095,87344225.290433,2.6440416544961e-05
0.00096,90291163.068693,2.6440416544962e-05
0.00097,93303126.781119,2.2403600973434e-05
0.00098,96380733.683757,2.6440416544962e-05
0.00099,99524629.396637,2.6440416544961e-05
0.001,102735505.82675,2.6307954588225e-05
0.00101,106014137.44929,2.5080638971575e-05
0.00102,109361416.31962,2.6440416544961e-05
0.00103,112778362.91855,2.5742418170631e-05
0.00104,116266096.76882,2.5080638971799e-05
0.00105,119825765.25274,2.5267238484628e-05
0.00106,123458445.75105,2.6440416544962e-05
0.00107,127165048.98163,2.629322815669e-05
0.00108,130946255.72565,2.6440416544961e-05
0.00109,134802513.53978,2.6440416544961e-05
0.0011,138734106.15926,2.5239493905099e-05
0.00111,142741290.20405,2.425627243077e-05
0.00112,146824476.41622,2.5024860484371e-05
0.00113,150984420.43366,2.6440416544961e-05
0.00114,155222383.92016,2.644041654496e-05
0.00115,159540231.2995,2.2824926639172e-05
0.00116,163940438.81546,2.6440416544961e-05
0.00117,168426007.98459,2.6440416544961e-05
0.00118,173000291.19612,2.6440416544961e-05
0.00119,177666750.30751,2.6440416544961e-05
0.0012,182428677.83899,2.2406334552511e-05
0.00121,187288914.62875,2.6440416544961e-05
0.00122,192249598.02065,2.5615645054231e-05
0.00123,197311971.47194,2.4623882474845e-05
0.00124,202476280.79197,2.6440416544961e-05
0.00125,207741773.79429,2.6440416544961e-05
0.00126,213106809.22296,2.6440416544961e-05
0.00127,218569068.08513,2.6440416544961e-05
0.00128,224125847.15283,2.3110532152117e-05
